"","AR","beta_catenin","Caspase8","Caspase9","EGF","EGFR","HSP27","IGF_1","IGF1_R","IL6","IL6R","Jak","MEK","mTOR","MYC","NFkB","p53","PI3K","Rac","RAS","RPS6","Stat3","TNFa","TNFR","AKT","Cell_cycle","ERK1_2","GSK3","IKK","JNK","p38"
"CESS",1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,NA,1,NA,NA,NA,NA
"CFPAC-1",0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,NA,NA,NA,NA,0,NA
"CGTH-W-1",1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,NA,1,NA,NA,NA,0
"ChaGo-K-1",1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,NA,1,1,0,0,NA
"CHL-1",0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,NA,NA,NA,NA,0,0
"CHP-134",0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,NA,NA,1,0,NA,0
"CHP-212",1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,NA,0,0,NA,NA,0
"COLO-205",0,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,NA,0,NA,NA,NA,NA,NA
"COLO-320-HSR",1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,NA,NA,NA,0,NA,0
"COLO-668",0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,NA,1,0,NA,0,NA
"COLO-678",0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,NA,NA,NA,NA,0,NA
"COLO-679",1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,NA,NA,0,NA,0,0
"COLO-680N",1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,NA,NA,1,NA,0,0,1
"COLO-684",0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,1,NA,NA,NA,1,NA,0
"COLO-741",1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,NA,NA,NA,NA,0,0
"COLO-792",0,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,NA,1,NA,0,NA,NA
"COLO-800",1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,NA,1,NA,NA,NA,0
"COLO-824",1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,NA,NA,NA,NA,NA,NA
"COR-L105",1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,NA,NA,NA,0,NA,0
"COR-L23",1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,NA,1,NA,NA,0,NA
"COR-L279",0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,NA,NA,NA,0,NA,NA
"COR-L88",0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,NA,NA,NA,NA,NA,NA
"CP66-MEL",1,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,NA,1,NA,0,0,0
"CP67-MEL",0,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,NA,1,NA,0,0,0
"CPC-N",1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,NA,NA,NA,NA,NA,NA
"CRO-AP2",1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,NA,NA,NA,NA,1,0,0
"CTB-1",1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,NA,NA,1,0,NA,NA,0
"CTV-1",0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,NA,NA,NA,1,NA,0
"CW-2",1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,NA,NA,NA,NA,0,0,NA
"D-247MG",1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,NA,1,0,NA,0,0
"D-263MG",1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,NA,1,NA,NA,0,0
"D-283MED",1,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,NA,NA,1,NA,0,NA,0
"D-336MG",1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,NA,NA,0,NA,0,0
"D-392MG",1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,NA,NA,0,0,0,0
"D-423MG",1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,NA,1,0,0,0,0
"D-502MG",1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,NA,NA,NA,NA,0,0
"D-542MG",1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA
"D-566MG",0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,NA,NA,NA,NA,NA,0
"Daoy",1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,NA,1,NA,0,0,0
"Daudi",1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,NA,NA,NA,1,NA,NA,0
"DB",1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,0
"DBTRG-05MG",1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,NA,NA,NA,0,0,0
"DEL",0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,NA,NA,NA,NA,0,NA
"DG-75",1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,NA,NA,NA,NA,1,0,0
"DJM-1",0,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,NA,NA,NA,NA,0,NA,NA
"DK-MG",1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,NA,1,NA,0,0,0
"DMS-114",0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,NA,NA,NA,1,NA,NA
"DMS-273",0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,NA,NA,1,NA,0,0
"DMS-53",1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,NA,NA,NA,0,1,NA,0
"DOHH-2",1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,NA,NA,NA,0,NA,NA,0
"DOK",0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,NA,1,NA,0,NA,NA
"DoTc2-4510",1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,1,NA,1,1,NA,NA,0
"DSH1",1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,NA,1,NA,NA,NA,NA
"DU-145",0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1,NA,1,NA,NA,NA,0
"DU-4475",0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,NA,NA,NA,NA,1,0
"EB-3",1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,1,NA,NA,NA,NA,NA,0
"EB2",0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,NA,NA,0,NA,1,NA,0
"EC-GI-10",1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,1,1,NA,NA,NA,NA,0,0
"ECC12",0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,NA,NA,1,NA,0,NA,0
"EFM-19",1,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,NA,NA,NA,NA,0,NA,NA
"EFO-21",0,0,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,NA,NA,NA,NA,1,NA,NA
"EFO-27",0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,NA,NA,1,NA,NA,0,NA
"EGI-1",0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA
"EHEB",1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,NA,NA,NA,NA,NA,0
"EKVX",0,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,NA,NA,1,0,1,NA,0
"EM-2",1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,NA,NA,NA,1,1,NA,NA
