"","AR","beta_catenin","Caspase8","Caspase9","EGF","EGFR","HSP27","IGF_1","IGF1_R","IL6","IL6R","Jak","MEK","mTOR","MYC","NFkB","p53","PI3K","Rac","RAS","RPS6","Stat3","TNFa","TNFR","AKT","Cell_cycle","ERK1_2","GSK3","IKK","JNK","p38"
"EPLC-272H",0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,0,1,0.833333333333333,0.5,0.5,1,0.333333333333333,0.5
"ES1",1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0.666666666666667,0.666666666666667,0.5,0,0.5,0,0
"ES3",1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0.666666666666667,0.666666666666667,1,0,0.5,0,0
"ES5",1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0.666666666666667,0.5,1,0.5,0.5,0.333333333333333,0.5
"ES6",1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0.833333333333333,0.5,0,0,0.333333333333333,0
"ES7",1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0.333333333333333,0.666666666666667,0.5,0,0,0.333333333333333,0
"ES8",1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,1,0.5,0.5,0,0.5,0.333333333333333,0
"ESS-1",0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0.833333333333333,0,0.5,1,0,0.5
"ETK-1",1,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0.333333333333333,0.5,0.5,0,0,0.5
"EVSA-T",1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0.666666666666667,0.333333333333333,0.5,0.5,0.5,0.666666666666667,0
"EW-1",1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0.666666666666667,0.5,0.5,0,0.5,0.666666666666667,0
